Group,Product,2014-15 QTY,2014-15  VAL,2015-16 QTY ,2015-16  VAL ,2016-17 QTY ,2016-17  VAL ,2017-18 QTY ,2017-18  VAL ,2018-19 QTY ,2018-19  VAL ,2019-20 QTY ,2019-20  VAL ,2020-21 QTY ,2020-21  VAL ,2021-22 QTY ,2021-22  VAL 
Alkali Chemicals,Soda Ash,27720,5166,18613,3927,64377,10793,110087,19377,62457,15202,137749,27137,149721,23725,250639,53739
Alkali Chemicals,Caustic Soda,42200,11973,82144,23807,84809,27773,159630,66829,172165,71663,187494,54532,275374,60246,343042,131967
Alkali Chemicals,Liquid Chlorine,3719,521,5987,1476,5058,1025,3739,674,4699,979,4216,1091,3778,1339,4290,1455
Inorganic Chemicals,Aluminium Fluoride,2831,1980,1796,1240,321,265,206,204,442,363,1362,1210,2046,1872,984,247
Inorganic Chemicals,Calcium Carbide,412,230,371,206,493,284,464,258,325,204,371,244,129,112,787,974
Inorganic Chemicals,Carbon Black,114119,77832,114668,55019,332172,87414,122287,72959,122832,103643,144017,103457,138724,85640,203936,218180
Inorganic Chemicals,Potassium Chlorate,634,492,758,576,1658,1145,1941,1245,3024,2124,3178,2190,2595,1803,1981,1564
Inorganic Chemicals,Sodium Chlorate,31,21,13,13,118,56,1075,256,810,41,0,6,5,5,24,34
Inorganic Chemicals,Titanium Dioxide,5158,7108,4436,5582,8183,10216,9560,15377,7345,12743,6235,10654,6483,11521,6051,15382
Inorganic Chemicals,Red Phosphorus,360,1299,482,1777,454,1757,455,1716,595,2242,650,2567,582,2460,626,3628
Inorganic Chemicals,Hydrogen Peroxide,244,143,351,222,270,284,116,214,263,225,808,482,3077,1053,5683,1996
Inorganic Chemicals,Calcium Carbonate,39803,11453,33808,9831,33918,9901,36967,10041,41264,11663,39414,13269,41300,14740,52876,19176
Organic Chemicals,Acetic Acid,6489,3449,8378,5181,12914,6277,12220,5401,17821,10476,12746,6265,10697,6270,22227,20425
Organic Chemicals,Acetic Anhydride,20098,11565,18605,9941,20443,10277,19644,13743,18444,13582,20529,12815,23960,15302,20700,24118
Organic Chemicals,Acetone,3182,2975,10778,6392,3225,2201,5054,3173,10901,5904,11004,5646,28161,19355,21604,15500
Organic Chemicals,Phenol,2009,3338,6841,7379,4013,8192,4750,9709,4724,11740,22273,23408,53100,39575,43658,50811
Organic Chemicals,Methanol,49463,11525,44013,8196,12624,3123,9466,2846,10943,3819,12941,3482,8451,2607,18645,6084
Organic Chemicals,Formaldehyde,7467,1213,8480,1383,8406,1548,10616,2098,12484,2495,14153,2484,15241,2734,16486,4115
Organic Chemicals,Nitrobenzene,150,137,49,38,344,231,60,49,103,110,133,131,98,99,119,149
Organic Chemicals,Citric Acid,1737,1364,1487,1144,1670,1244,2393,1931,2323,2010,2411,1942,2296,2018,5572,11418
Organic Chemicals,Maleic Anhydride,37,47,80,67,232,164,233,227,87,105,167,193,50,62,114,204
Organic Chemicals,Pentaerythritol,1557,2516,1632,2958,2044,3470,2110,3399,2287,4161,2584,4741,1336,2550,2620,6578
Organic Chemicals,Aniline,86,141,129,134,168,207,162,614,137,341,68,148,68,89,74,179
Organic Chemicals,Chloro Methanes,144,236,38,41,89,121,101,283,75,149,49,107,68,156,122,250
Organic Chemicals,Isobutylbenzene,13944,19250,12572,14186,13430,14854,12341,14384,11740,16320,9705,14150,16156,20894,8541,13709
Organic Chemicals,Oncb,2231,2283,843,883,973,950,0,0,0,0,0,0,0,0,0,0
Organic Chemicals,Pncb,843,564,1670,1114,1023,738,0,0,0,0,0,0,0,0,0,0
Organic Chemicals,Mek,673,922,184,795,189,98,19,36,465,477,243,245,66,75,10,37
Organic Chemicals,Acetaldehyde,25,140,2,4,40,44,3,6,1148,912,1139,893,1027,692,993,812
Organic Chemicals,Ethanolamines,1027,3696,1129,7119,1692,4996,4801,14201,3143,13553,1686,10522,2760,11850,3081,10668
Organic Chemicals,Ethyl Acetate,115096,67934,104814,54269,93699,48020,105551,62174,118682,82170,108384,63095,108725,69937,118930,133346
Organic Chemicals,Menthol,13135,115160,8836,94548,12006,125246,12749,183951,13351,253213,17089,265334,19980,240427,19795,222579
Organic Chemicals,Ortho Nitro Toluene,1152,1006,1168,999,1082,939,2650,2267,4289,4201,7220,7112,3682,3318,6853,7332
Pesticides & Insecticides,Malathion,1260,2346,1010,1943,1264,2274,1977,3682,2499,5792,2318,6230,1673,5079,2772,9020
Pesticides & Insecticides,Dimethoate,369,1327,20,52,24,58,24,62,126,429,199,603,154,590,96,443
Pesticides & Insecticides,D.D.V.P.,564,1449,550,1461,322,1145,493,1835,689,2716,12,41,639,2620,468,1128
Pesticides & Insecticides,Quinalphos,996,3900,235,1036,384,1772,382,1645,281,1439,338,1606,522,2909,811,5809
Pesticides & Insecticides,Cypermethrin,10487,50407,8837,45949,9416,45742,9706,62713,13609,112381,15122,95462,18945,106342,19820,126617
Pesticides & Insecticides,Fenthion,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0
