Group,Product,2014-15 QTY,2014-15  VAL,2015-16 QTY ,2015-16  VAL ,2016-17 QTY ,2016-17  VAL ,2017-18 QTY ,2017-18  VAL ,2018-19 QTY ,2018-19  VAL ,2019-20 QTY ,2019-20  VAL ,2020-21 QTY ,2020-21  VAL ,2021-22 QTY ,2021-22  VAL 
Synthetic Fibres,Acrylic Fibre,37420,59176,47911,58966,48332,60060,39213,52227,45932,71700,40505,59726,25569,33923,23743,43557
Synthetic Fibres,Nylon Filament Yarn,1848,6939,1639,6236,1857,6462,4014,12111,5794,18888,7748,22360,6098,15495,9363,29452
Synthetic Fibres,Nylon Industrial Yarn/Tyre Cord,1752,2937,1122,1471,1474,1872,1620,2239,1895,2827,3624,5116,4296,5939,5312,9033
Synthetic Fibres,Polyester Filament Yarn,648773,677742,634799,624444,748037,690836,717714,730282,696668,839555,711319,750466,540650,545550,762473,966876
Synthetic Fibres,Polyester Staple Fibre,183575,151547,181813,129129,213903,150316,227441,169364,255455,225045,285157,204876,291399,172242,383703,329736
Synthetic Fibres,Polypropylene Filament Yarn,2232,3234,2844,3878,2077,2690,869,1117,494,713,720,965,729,1005,798,1297
Synthetic Fibres,Polypropylene Staple Fibre,10611,11862,7531,6885,9755,8767,9497,8663,7892,8446,9509,9103,8212,7668,10896,14033
Synthetic Fibres,Elastomeric/Spandex Filament Yarn,971,3890,699,2774,305,1015,685,1979,1536,4834,766,2375,1666,5218,5958,44903
Fibre Intermediates,Acrylonitrile,4,85,2323,2132,6,39,1514,1900,1872,3059,2988,3262,8533,8178,1956,3401
Fibre Intermediates,Caprolactum,0,1,0,8,1010,867,53,93,77,129,258,327,6225,4672,25,554
Fibre Intermediates,Dimethyl Terephthalate,0,0,1,1,1,1,0,0,1,2,0,1,0,0,0,0
Fibre Intermediates,Mono Ehylene Glycol,73216,57216,72239,52081,62199,45932,137462,90499,292583,175325,151301,81361,325429,105684,71204,48936
Fibre Intermediates,Purified Terephthalic Acid,50,45,172977,67172,259880,106735,212329,88577,162422,97404,79825,38661,134978,44395,54397,33649
Polymers,Low Density Polyethylene,21519,23853,24007,26531,26909,27321,108257,88430,164142,132765,140022,98135,39442,35801,49187,66522
Polymers,High Density Polythylene,51663,51095,116114,97840,148142,117815,205797,155550,457416,365235,486892,315945,398659,247524,198169,192824
Polymers,Polyestyrene,73695,69174,86290,72301,82542,75483,69814,67452,63990,64060,49611,43139,36502,27805,44494,52518
Polymers,Polypropylene (Inc. Co-Polymer),726906,620745,735410,503124,574234,382678,552002,397646,718053,596611,539045,386684,861712,561818,546609,547136
Polymers,Expandable Polyestyrene,4810,5489,3762,3735,3697,3548,3119,3272,3064,3818,2745,2762,894,895,944,1279
Polymers,Poly Vinyl Chloride,1988,2085,3054,3272,6484,6127,6662,6015,2133,1788,2060,1471,16985,8467,2537,2894
Polymers,Linear Low Density Polythylene,10854,10267,15825,14160,53215,41558,228952,163632,508135,380841,395076,247196,134318,85759,66494,65425
Polymers,Pvc Compound,11831,10842,13877,11534,16901,12902,13630,9774,17222,13273,0,0,0,0,12721,13919
